Cazy_function	Lp082_1	Lp082_2	Lp082_3	Lp082_4	Lp082_5	Lp082_6	Lp082_M_1	Lp082_M_2	Lp082_M_3	Lp082_M_4	Lp082_M_5	Lp082_M_6
α-galactosidase (EC 3.2.1.22)	-2	-2	-2	-2	-2	-2	3.829831683	3.628900585	3.615919555	3.895577781	3.775516517	3.852157203
α-L-fucosidase (EC 3.2.1.51)	-2	-2	-2	-2	-2	-2	3.251883886	3.513565163	3.61480339	3.678974285	3.734592631	3.609296597
α-L-rhamnosidase (EC 3.2.1.40)	-2	-2	-2	-2	-2	-2	3.851381279	3.954189908	3.897055536	4.109200779	3.965498501	4.065759296
α-mannosidase (EC 3.2.1.24)	-2	-2	-2	-2	-2	-2	3.086185366	3.519304163	3.399190711	3.472187253	3.317480405	3.520157198
α-N-acetylglucosaminidase (EC 3.2.1.50)	-2	-2	-2	-2	-2	-2	2.817042844	2.950223637	2.975298513	3.115280922	3.178692118	3.133861316
β-agarase (EC 3.2.1.81)	-2	-2	-2	-2	-2	-2	2.755119899	2.296687124	1.671265433	2.424897963	2.255296632	1.759743368
β-galactosidase (EC 3.2.1.23)	-2	-2	-2	-2	-2	-2	4.070385533	4.181197666	4.195335256	4.308967789	4.289898957	4.374192937
β-glucosidase (EC 3.2.1.21)	-2	-2	-2	-2	-2	-2	4.15062475	4.247167971	4.206726328	4.282995984	4.171483941	4.456750199
β-hexosaminidase (EC 3.2.1.52)	-2	-2	-2	-2	-2	-2	4.475084131	4.408104397	4.404063786	4.431585841	4.695023587	4.570925814
β-L-arabinofuranosidase (EC 3.2.1.185)	-2	-2	-2	-2	-2	-2	2.880819307	3.307498177	3.694606076	3.303198218	3.900913613	2.720167576
β-xylosidase (EC 3.2.1.37)	-2	-2	-2	-2	-2	-2	2.949394886	2.053116875	2.700019727	3.285784523	2.257702568	2.872744649
α-glucosidase (EC 3.2.1.20)	-2	-2	1.649432223	-2	-2	2.146159056	3.42037003	3.723710919	3.674154493	3.885158163	3.644705387	3.785237983
heparan beta-glucuronyltransferase (EC 2.4.1.225)	3.701024561	3.417689201	3.298200053	3.563553462	3.502100594	3.690551347	2.501894168	2.681250285	3.013220752	3.02485905	2.287376182	3.393752394
1,3-beta-galactosyl-N-acetylhexosamine phosphorylase	3.070337149	3.279669225	3.492090976	3.293762408	3.259596268	3.222484959	-2	2.382395309	2.316201069	2.605315823	2.401417774	2.662767273
galactocerebrosidase (EC 3.2.1.46)	3.802753891	3.226473593	3.62933925	3.747296032	3.105070559	2.663088147	-2	2.315991325	2.513230922	1.841422044	-2	2.715175726
alpha-L-arabinofuranosidase (EC 3.2.1.55)	2.318084214	1.519959181	2.368863082	-2	2.569385616	2.409950022	-2	-2	-2	-2	-2	-2
Beta-mannosidase	2.390952761	-2	2.238071206	1.859798547	2.045362103	2.26009525	-2	-2	-2	-2	-2	-2
Glucan 1,4-alpha-maltohexaosidase	-2	2.255296632	2.741946945	1.706803097	1.939569169	2.376595204	-2	-2	-2	-2	-2	-2
Lysozyme	-2	1.809627042	2.064495427	1.783975003	2.794495018	3.053082287	-2	-2	-2	-2	-2	-2
pullulanase (EC 3.2.1.41)	1.908538632	2.315991325	2.53908865	2.444060418	2.155366407	2.049256797	-2	-2	-2	-2	-2	-2
UDP-Glc: ceramide beta-glucosyltransferase (EC 2.4.1.80)	2.423262262	2.770122668	2.946948178	2.587722187	2.347349534	2.348324338	-2	-2	-2	-2	-2	-2
